NODAL DISPLACEMENTS
--------------------------------
Project: ID03-ML,
Config: CPMU16 (2m),
 E=20.25keV, d=31m, th=0.245deg, Wc=8mm

Displacements of nodes in beam FP

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
     0.000000000,     0.500000000,     0.000000000, 0.000000000E+00, 0.423928633E-04,-0.508199661E-05
     0.000000000,     0.000000000,     0.000000000, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
     0.000000000,    -0.500000000,     0.000000000, 0.000000000E+00,-0.424296117E-04,-0.504905244E-05
   150.000000000,    -0.500000000,     0.000000000, 0.507866170E-02,-0.524159512E-04,-0.364704754E-03
   148.000000000,    -0.500000000,     0.000000000, 0.494864469E-02,-0.467815184E-04,-0.303862510E-03
   146.000000000,    -0.500000000,     0.000000000, 0.483592232E-02,-0.453882083E-04,-0.263201041E-03
   144.000000000,    -0.500000000,     0.000000000, 0.473253836E-02,-0.449756094E-04,-0.231637486E-03
   142.000000000,    -0.500000000,     0.000000000, 0.463546185E-02,-0.447687596E-04,-0.205806736E-03
   140.000000000,    -0.500000000,     0.000000000, 0.454313321E-02,-0.446575077E-04,-0.184073407E-03
   138.000000000,    -0.500000000,     0.000000000, 0.445458103E-02,-0.445874923E-04,-0.165479371E-03
   136.000000000,    -0.500000000,     0.000000000, 0.436914885E-02,-0.445428874E-04,-0.149383578E-03
   134.000000000,    -0.500000000,     0.000000000, 0.428635533E-02,-0.445144163E-04,-0.135328085E-03
   132.000000000,    -0.500000000,     0.000000000, 0.420583279E-02,-0.444970213E-04,-0.122969973E-03
   130.000000000,    -0.500000000,     0.000000000, 0.412728905E-02,-0.444877482E-04,-0.112042715E-03
   128.000000000,    -0.500000000,     0.000000000, 0.405048549E-02,-0.444842877E-04,-0.102335389E-03
   126.000000000,    -0.500000000,     0.000000000, 0.397522400E-02,-0.444848630E-04,-0.936776873E-04
   124.000000000,    -0.500000000,     0.000000000, 0.390133694E-02,-0.444883362E-04,-0.859292240E-04
   122.000000000,    -0.500000000,     0.000000000, 0.382868030E-02,-0.444935345E-04,-0.789737495E-04
   120.000000000,    -0.500000000,     0.000000000, 0.375712961E-02,-0.444994191E-04,-0.727136661E-04
   118.000000000,    -0.500000000,     0.000000000, 0.368657575E-02,-0.445052790E-04,-0.670658585E-04
   116.000000000,    -0.500000000,     0.000000000, 0.361692224E-02,-0.445103196E-04,-0.619595627E-04
   114.000000000,    -0.500000000,     0.000000000, 0.354808346E-02,-0.445138459E-04,-0.573337195E-04
   112.000000000,    -0.500000000,     0.000000000, 0.347998258E-02,-0.445153534E-04,-0.531351417E-04
   110.000000000,    -0.500000000,     0.000000000, 0.341255036E-02,-0.445143010E-04,-0.493176788E-04
   108.000000000,    -0.500000000,     0.000000000, 0.334572434E-02,-0.445102830E-04,-0.458407269E-04
   106.000000000,    -0.500000000,     0.000000000, 0.327944771E-02,-0.445030101E-04,-0.426684234E-04
   104.000000000,    -0.500000000,     0.000000000, 0.321366875E-02,-0.444921769E-04,-0.397691615E-04
   102.000000000,    -0.500000000,     0.000000000, 0.314834043E-02,-0.444775906E-04,-0.371149204E-04
   100.000000000,    -0.500000000,     0.000000000, 0.308341980E-02,-0.444591942E-04,-0.346807806E-04
    98.000000000,    -0.500000000,     0.000000000, 0.301886772E-02,-0.444369707E-04,-0.324446434E-04
    96.000000000,    -0.500000000,     0.000000000, 0.295464856E-02,-0.444109216E-04,-0.303868452E-04
    94.000000000,    -0.500000000,     0.000000000, 0.289072995E-02,-0.443810799E-04,-0.284898873E-04
    92.000000000,    -0.500000000,     0.000000000, 0.282708244E-02,-0.443475832E-04,-0.267381360E-04
    90.000000000,    -0.500000000,     0.000000000, 0.276367934E-02,-0.443106095E-04,-0.251178870E-04
    88.000000000,    -0.500000000,     0.000000000, 0.270049668E-02,-0.442703614E-04,-0.236168877E-04
    86.000000000,    -0.500000000,     0.000000000, 0.263751270E-02,-0.442270880E-04,-0.222241103E-04
    84.000000000,    -0.500000000,     0.000000000, 0.257470783E-02,-0.441809362E-04,-0.209301125E-04
    82.000000000,    -0.500000000,     0.000000000, 0.251206486E-02,-0.441321738E-04,-0.197263507E-04
    80.000000000,    -0.500000000,     0.000000000, 0.244956803E-02,-0.440811982E-04,-0.186049405E-04
    78.000000000,    -0.500000000,     0.000000000, 0.238720334E-02,-0.440281396E-04,-0.175595663E-04
    76.000000000,    -0.500000000,     0.000000000, 0.232495883E-02,-0.439732271E-04,-0.165843207E-04
    74.000000000,    -0.500000000,     0.000000000, 0.226282337E-02,-0.439169416E-04,-0.156734438E-04
    72.000000000,    -0.500000000,     0.000000000, 0.220078714E-02,-0.438593574E-04,-0.148228295E-04
    70.000000000,    -0.500000000,     0.000000000, 0.213884212E-02,-0.438007198E-04,-0.140282805E-04
    68.000000000,    -0.500000000,     0.000000000, 0.207698057E-02,-0.437415162E-04,-0.132855204E-04
    66.000000000,    -0.500000000,     0.000000000, 0.201519577E-02,-0.436817060E-04,-0.125919390E-04
    64.000000000,    -0.500000000,     0.000000000, 0.195348247E-02,-0.436215922E-04,-0.119444310E-04
    62.000000000,    -0.500000000,     0.000000000, 0.189183532E-02,-0.435616323E-04,-0.113397256E-04
    60.000000000,    -0.500000000,     0.000000000, 0.183024976E-02,-0.435016713E-04,-0.107761349E-04
    58.000000000,    -0.500000000,     0.000000000, 0.176872244E-02,-0.434419840E-04,-0.102512175E-04
    56.000000000,    -0.500000000,     0.000000000, 0.170724956E-02,-0.433830301E-04,-0.976237043E-05
    54.000000000,    -0.500000000,     0.000000000, 0.164582803E-02,-0.433246534E-04,-0.930842944E-05
    52.000000000,    -0.500000000,     0.000000000, 0.158445565E-02,-0.432671377E-04,-0.888728889E-05
    50.000000000,    -0.500000000,     0.000000000, 0.152312957E-02,-0.432108420E-04,-0.849687529E-05
    48.000000000,    -0.500000000,     0.000000000, 0.146184766E-02,-0.431555297E-04,-0.813636773E-05
    46.000000000,    -0.500000000,     0.000000000, 0.140060837E-02,-0.431015045E-04,-0.780376920E-05
    44.000000000,    -0.500000000,     0.000000000, 0.133940936E-02,-0.430490563E-04,-0.749735981E-05
    42.000000000,    -0.500000000,     0.000000000, 0.127824906E-02,-0.429979697E-04,-0.721647894E-05
    40.000000000,    -0.500000000,     0.000000000, 0.121712621E-02,-0.429486233E-04,-0.695914085E-05
    38.000000000,    -0.500000000,     0.000000000, 0.115603867E-02,-0.429011497E-04,-0.672393466E-05
    36.000000000,    -0.500000000,     0.000000000, 0.109498519E-02,-0.428553223E-04,-0.651028682E-05
    34.000000000,    -0.500000000,     0.000000000, 0.103396451E-02,-0.428115603E-04,-0.631619477E-05
    32.000000000,    -0.500000000,     0.000000000, 0.972974486E-03,-0.427698893E-04,-0.614058110E-05
    30.000000000,    -0.500000000,     0.000000000, 0.912014069E-03,-0.427301099E-04,-0.598289800E-05
    28.000000000,    -0.500000000,     0.000000000, 0.851081833E-03,-0.426927118E-04,-0.584104793E-05
    26.000000000,    -0.500000000,     0.000000000, 0.790175551E-03,-0.426575875E-04,-0.571435344E-05
    24.000000000,    -0.500000000,     0.000000000, 0.729294256E-03,-0.426245662E-04,-0.560228906E-05
    22.000000000,    -0.500000000,     0.000000000, 0.668436224E-03,-0.425942059E-04,-0.550271126E-05
    20.000000000,    -0.500000000,     0.000000000, 0.607599078E-03,-0.425662318E-04,-0.541539077E-05
    18.000000000,    -0.500000000,     0.000000000, 0.546781935E-03,-0.425404903E-04,-0.533988788E-05
    16.000000000,    -0.500000000,     0.000000000, 0.485982772E-03,-0.425176589E-04,-0.527396646E-05
    14.000000000,    -0.500000000,     0.000000000, 0.425199019E-03,-0.424973250E-04,-0.521792817E-05
    12.000000000,    -0.500000000,     0.000000000, 0.364429855E-03,-0.424793403E-04,-0.517145731E-05
    10.000000000,    -0.500000000,     0.000000000, 0.303672960E-03,-0.424644368E-04,-0.513232503E-05
     8.000000000,    -0.500000000,     0.000000000, 0.242925604E-03,-0.424520658E-04,-0.510139784E-05
     6.000000000,    -0.500000000,     0.000000000, 0.182187105E-03,-0.424421381E-04,-0.507846796E-05
     4.000000000,    -0.500000000,     0.000000000, 0.121454838E-03,-0.424354738E-04,-0.506135402E-05
     2.000000000,    -0.500000000,     0.000000000, 0.607259732E-04,-0.424313035E-04,-0.505158793E-05
     2.000000000,    -0.000000000,     0.000000000, 0.607258123E-04,-0.643688910E-11,-0.205843058E-08
     4.000000000,    -0.000000000,     0.000000000, 0.121454580E-03,-0.209373800E-10,-0.111059772E-07
     6.000000000,    -0.000000000,     0.000000000, 0.182186690E-03,-0.813177846E-11,-0.272092858E-07
     8.000000000,    -0.000000000,     0.000000000, 0.242925041E-03,-0.439997008E-11,-0.482380302E-07
    10.000000000,    -0.000000000,     0.000000000, 0.303672303E-03, 0.957535089E-12,-0.770189482E-07
    12.000000000,    -0.000000000,     0.000000000, 0.364429047E-03, 0.172802159E-10,-0.113664711E-06
    14.000000000,    -0.000000000,     0.000000000, 0.425198058E-03, 0.422367759E-10,-0.156851221E-06
    16.000000000,    -0.000000000,     0.000000000, 0.485981713E-03, 0.724563651E-10,-0.209377975E-06
    18.000000000,    -0.000000000,     0.000000000, 0.546780727E-03, 0.831151455E-10,-0.271406414E-06
    20.000000000,    -0.000000000,     0.000000000, 0.607597743E-03, 0.919210974E-10,-0.342280594E-06
    22.000000000,    -0.000000000,     0.000000000, 0.668434785E-03, 0.114743624E-09,-0.424761978E-06
    24.000000000,    -0.000000000,     0.000000000, 0.729292667E-03, 0.154034300E-09,-0.519112867E-06
    26.000000000,    -0.000000000,     0.000000000, 0.790173835E-03, 0.190310481E-09,-0.625316342E-06
    28.000000000,    -0.000000000,     0.000000000, 0.851080011E-03, 0.218352428E-09,-0.745937133E-06
    30.000000000,    -0.000000000,     0.000000000, 0.912012114E-03, 0.252177533E-09,-0.881289702E-06
